instrument_id,field_name,field_value,source_url,source_title,evidence_quote,confidence_score,needs_human_review,review_note,updated_at
CHNTRAETSI01S000,Instrument / subscheme,Instrument,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Group,Trading scheme,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Approach,Emissions trading system,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Domestic instrument name,全国碳排放权交易市场,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,English instrument name,National carbon emission trading market,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Description,全国碳排放权交易市场覆盖生态环境部按程序确定并公开的温室气体种类和行业范围，对年度温室气体排放量达到2.6万吨二氧化碳当量的重点排放单位实施配额分配、登记、交易、核查与清缴管理。,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,第八条列明覆盖行业和2.6万吨二氧化碳当量门槛；第十五条规定配额分配以免费分配为主；第二十九条规定国家核证自愿减排量抵销比例不超过5%。,0.86,true,"Most implementation fields filled from MEE Order No.19. Still verify latest official sector-expansion notice for steel, cement, and electrolytic aluminum/aluminum smelting before marking review complete.",2026-06-11T15:44:55
CHNTRAETSI01S000,Objective,Climate change mitigation,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Mitigation relevance,Direct,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Functioning channel,environment,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Country,CHN,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Jurisdiction level,national,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Adoption date,31/12/2020,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Start date,01/02/2021,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Status,in force,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,本办法自2021年2月1日起施行。,0.78,true,"Needs review for current sector coverage, 2024 regulation implementation details, offset rules, and allocation/free allowance fields.",2026-06-11T15:32:29
CHNTRAETSI01S000,Administrating authorities,Ministry of Ecology and Environment; provincial ecology and environment authorities; national carbon allowance registry; national carbon trading institution,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,第八条列明覆盖行业和2.6万吨二氧化碳当量门槛；第十五条规定配额分配以免费分配为主；第二十九条规定国家核证自愿减排量抵销比例不超过5%。,0.86,true,"Most implementation fields filled from MEE Order No.19. Still verify latest official sector-expansion notice for steel, cement, and electrolytic aluminum/aluminum smelting before marking review complete.",2026-06-11T15:44:55
CHNTRAETSI01S000,Asset,GHGs,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202101/t20210105_816131.html,碳排放权交易管理办法（试行）,第八条列明覆盖行业和2.6万吨二氧化碳当量门槛；第十五条规定配额分配以免费分配为主；第二十九条规定国家核证自愿减排量抵销比例不超过5%。,0.86,true,"Most implementation fields filled from MEE Order No.19. Still verify latest official sector-expansion notice for steel, cement, and electrolytic aluminum/aluminum smelting before marking review complete.",2026-06-11T15:44:55
