id,file_name,organization,year_published,month_published,date_updated,last_seen
d4c3cc0a446dd8703735dd25e7dd224137e55d66200b7aa3d061f299aa63c598,生态保护“十五五”规划,生态环境部等部门,2026,8,2026-08-21,2026-09-09
356c033c3e03cbd4954ed558f7f51366dc3a9756a2f95f280c2db0b73aa36b05,煤炭工业发展“十五五”规划,"国家发展和改革委员会, 国家能源局",2026,8,2026-08-21,2026-09-09
4c3bb78ebbe1f9cecc1d26ae828667d18b0049e1f2fa755e7977c2ab6372df04,新型电力系统建设“十五五”规划,"国家发展和改革委员会, 国家能源局",2026,8,2026-08-18,2026-09-09
e930f3649f6db2ca6843d8ed7cf7d579fcd64296ff5dfa7c38ac515695d9c69a,关于组织开展2026年度重点行业能效、碳效领跑者企业推荐工作的通知,"工业和信息化部, 国家发展和改革委员会, 市场监管总局",2026,7,2026-08-18,2026-09-09
5c448c7a7da39d0d073e316b1db7e87aaec2dd27d38431e3093c04247a8856e3,“十五五”公共机构节能降碳工作方案,"国家机关事务管理局, 国家发展和改革委员会",2026,7,2026-08-18,2026-09-09
e0c3f8dbb00c86ad6a3a4afd99f5f8cf41c5fd00e0a0ef72481ca39846aaaf5d,关于深化综合交通运输体系改革的意见,"交通运输部, 国家发展改革委",2026,7,2026-08-11,2026-09-09
222a180a1e31c5e34ae2bc2cca97d9838d4e6fd3fbdc75f3839e40930d1325c8,综合运输服务发展“十五五”规划,交通运输部等部门,2026,7,2026-08-11,2026-09-09
42ab82283374cbe020a7887ca3c710a07a201c82eebb205284f5d8b66134402b,工业绿色低碳发展“十五五”规划,工业和信息化部,2026,7,2026-08-11,2026-09-09
b3ae637b6ddb137d19efb1ac26888c0dd178e1eec954fdc1a21672f0ae224728,国家应对气候变化“十五五”规划,生态环境部等部门,2026,7,2026-08-11,2026-09-09
dfb20087244ddeeda67bf0c863ff8a66dfe4258e5ae0a821f6d7e10c87e61cb7,关于开展绿色消费试点工作的通知,商务部,2026,7,2026-07-30,2026-09-09
8c65df709b3617745e124bbb7cd545de259083c4e55634477f7a19797be09f2d,关于组织开展国家级零碳工厂建设工作的通知,工业和信息化部,2026,7,2026-07-30,2026-09-09
d0f50362b64135eec4779bf525b484c41fea956fc7c35eb7042f249039ac880a,关于深入推进农村能源革命 开展村镇微能网建设试点工作的通知,国家能源局综合司,2026,7,2026-07-30,2026-09-09
c6a09a2bd6f2e4209421fab88948d51468ef97c5e04aa6868afc037ca6281fb9,土壤、地下水和农业农村生态环境保护“十五五”规划,生态环境部等部门,2026,7,2026-07-30,2026-09-09
543b26509512413390057c975a0673628663dc8e0425c58267f4cff072b02826,可再生能源发展“十五五”规划,"国家发展和改革委员会, 国家能源局",2026,7,2026-07-30,2026-09-09
0650c44307d1b4df4710d27a4b638683a25268baa458b08ec60efa242b5088f6,国家气象灾害防御规划（2026—2030年）,中国气象局,2026,7,2026-07-30,2026-09-09
5ad1ca924bcd41c53aa78e38fed80feb1b4c773fbe91d79a94d5ba1fbf29336f,固体废物污染防治“十五五”规划,生态环境部等部门,2026,7,2026-07-30,2026-09-09
22ef4e2f1038af4b565f32233ba1d46ff8c72e993905bfd01e7f66b19a3b63f1,能源领域节能降碳行动计划（2026—2028年）,国家能源局,2026,7,2026-07-30,2026-09-09
c9463afcbbd26577cdbb3f1854b697264f937504c2f45c457d57c6a2c762f258,“十五五”碳达峰行动方案,国务院,2026,7,2026-07-30,2026-09-09
290d31344bfb369399d2e75c6516196b24f7a75bfe9147ce23546f244f929389,电力企业涉电应急预案管理办法,国家能源局,2025,7,2026-07-30,2026-09-09
d10ab2dc351fc512d345943115d1a3972ee94d0eec525e10f74bbbf7e26c5a91,生态环境监测“十五五”规划,"生态环境部, 国家发展和改革委员会",2016,7,2026-07-30,2026-09-09
155bb0aba898c1e665be48bf0f3c728975ed8937bda6d91f7a4644eaccc2dcd4,美丽中国建设“十五五”规划,国务院,2026,7,2026-07-13,2026-09-09
7b784c5888b79a94c070e8f2bdea2433f0162b9863228edca2bd0b437cde9a3e,关于完善现代化都市圈综合交通运输体系的指导意见,交通运输部等部门,2026,6,2026-07-13,2026-09-09
699d1036da1d5c9a91b22c4a1a982aa79ac54b18cd139470dcf923488fd8ff2c,可再生能源消费最低比重目标和可再生能源电力消纳责任权重制度实施办法,国家发展改革委等部门,2026,6,2026-07-01,2026-09-09
6ac51c3bfc24e93331f451f141701342d5010595c2de16a3d3cec977ea3b9666,美丽中国建设全民行动促进计划（2026—2030年）,生态环境部等部门,2026,6,2026-07-01,2026-09-09
655940cdd0a8c0bb69816f79a848d9b52f2e17863b826ac4a8ff30566e458d4b,新型能源体系建设“十五五”规划,"国家发展和改革委员会, 国家能源局",2026,6,2026-07-01,2026-09-09
c4ab7343fee3897d68b021b1cc708bf06808a8a57abb2b6839d0eb51b8326256,关于开展2026年新能源汽车下乡活动的通知,工业和信息化部等部门,2026,6,2026-06-25,2026-09-09
7e8201939fca09829bc483fb1d12bdaa19b6fc6c3ce01981f3d01c9519ec1a70,关于组织开展地热能高质量开发利用试点工作的通知,国家能源局综合司,2026,6,2026-06-25,2026-09-09
74d08223ec3940a47fe22c8c0cf90aa360924a7a09d0f493bb8bb902e06fec04,推动新能源重卡规模化应用实施方案,交通运输部等部门,2026,6,2026-06-22,2026-09-09
89acdf2ce6c6cedc069f0e8009cdeed3c8fa29d3575b5fd4798e0daef0c8ef6b,关于开展重点行业节能降碳改造攻坚三年行动的通知,国家发展改革委等部门,2026,6,2026-06-22,2026-09-09
5f3b2dffc2316e8ab2da5c71401dd899ba34a4f74de72bbfee7c76ead7060fd5,加快农业农村现代化“十五五”规划,国务院,2026,6,2026-06-21,2026-09-09
7e6a98c493bd9b60e06093c8e9918ea875b11823dea99bf4401f7a508a55478a,城市更新“十五五”规划,国务院,2026,5,2026-06-04,2026-09-09
7f822334c7d8605d788417104196f8ac90ff902d8806b469130348e9e0761a0c,关于碳排放权交易收费有关问题的通知,"国家发展和改革委员会, 生态环境部",2026,5,2026-05-29,2026-09-09
4cf5951bf9f16d208517fd7e36754e7acffc991f7acc5d48db4ffd3484e237b6,关于印发钢铁行业产能置换实施办法的通知,工业和信息化部,2026,5,2026-05-29,2026-09-09
0b21257a00a8213066a32cadd9c88a1329fcaa26934aa183dbfedfe15e96c140,推进生态综合补偿实施方案,"国家发展和改革委员会, 财政部",2026,5,2026-05-29,2026-09-09
c0a5eab6222f83f00afe61d2b75a1677c1bea1831ba0cab5eeb50327f9d6b831,关于有序推动多用户绿电直连发展有关事项的通知,"国家发展和改革委员会, 国家能源局",2026,5,2026-05-29,2026-09-09
ca0d8ec769d854a03a0f0ebc22caaa2a17e6019c52805f019faa69e9ff838b93,美丽中国建设成效考核办法,"中共中央办公厅, 国务院办公厅",2026,5,2026-05-15,2026-09-09
19850dd31f93bedcf18adf6abfd17fed7d9cd167370011462dcb79e8c17c2d4f,关于促进人工智能与能源双向赋能的行动方案,国家发展和改革委员会等部门,2026,5,2026-05-15,2026-09-09
7a37f149349354cb224d4bdf6f8fdb3ad98df5eb5dc278a65cdbf13a9c17162b,关于推进服务业扩能提质的意见,国务院,2026,4,2026-05-06,2026-09-09
13c1fbac7b3fa4739c2c9c298fe7b7de2d548a9cfece6773e66a67fd9aa506c4,关于组织开展2026年度工业节能降碳诊断服务工作的通知,工业和信息化部,2026,4,2026-05-06,2026-09-09
5af8c80b1305cb92734278e020a324c15b05c2bb7a63b7ff36493b876e4fc0b4,碳达峰碳中和综合评价考核办法,"中共中央办公厅, 国务院办公厅",2026,4,2026-05-06,2026-09-09
2c0ff3cbcc4176f4236a4a2aa7e8dd7c0b474193183b5eb667b4bcfc7b10a81f,关于更高水平更高质量做好节能降碳工作的意见,"中共中央办公厅, 国务院办公厅",2026,4,2026-05-06,2026-09-09
